~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Running OptimTraj, iteration 1
  -> Transcription via trapezoid method, nGrid = 10

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   94    5062    1.528535e+00    1.075e-07    3.110e-01    1.219e-02
   95    5115    1.528387e+00    2.455e-06    3.111e-01    6.008e-02
   96    5168    1.527656e+00    6.019e-05    3.119e-01    2.986e-01
   97    5221    1.524125e+00    1.417e-03    3.156e-01    1.450e+00
   98    5274    1.509300e+00    2.646e-02    3.317e-01    6.306e+00
   99    5327    1.490430e+00    9.250e-02    3.652e-01    1.563e+01
  100    5380    1.501783e+00    6.845e-03    4.083e-01    1.714e+01
  101    5433    1.497819e+00    7.005e-03    3.053e-01    5.537e+00
  102    5486    1.492747e+00    1.537e-02    2.900e-01    6.330e+00
  103    5539    1.490833e+00    1.182e-03    2.903e-01    3.573e+00
  104    5592    1.487436e+00    8.337e-04    1.901e-01    5.262e+00
  105    5645    1.487087e+00    5.015e-06    1.688e-01    5.545e-01
  106    5698    1.486993e+00    1.315e-06    1.651e-01    1.331e-01
  107    5751    1.486974e+00    6.627e-07    1.651e-01    5.788e-02
  108    5804    1.486978e+00    2.501e-08    1.651e-01    7.731e-03
  109    5857    1.486987e+00    1.193e-07    1.651e-01    1.846e-02
  110    5910    1.487006e+00    5.081e-07    1.651e-01    4.126e-02
  111    5963    1.487039e+00    1.968e-06    1.648e-01    8.570e-02
  112    6016    1.487084e+00    6.769e-06    1.643e-01    1.785e-01
  113    6069    1.487113e+00    1.758e-05    1.624e-01    4.118e-01
  114    6122    1.486979e+00    7.650e-05    1.551e-01    1.193e+00
  115    6175    1.486158e+00    1.142e-03    1.526e-01    4.011e+00
  116    6228    1.484338e+00    7.587e-03    1.448e-01    1.012e+01
  117    6281    1.484886e+00    7.756e-03    1.440e-01    9.502e+00
  118    6334    1.486091e+00    7.030e-04    1.440e-01    2.228e+00
  119    6387    1.486250e+00    7.385e-05    1.444e-01    5.950e-01
  120    6440    1.486306e+00    2.365e-05    1.448e-01    4.393e-01

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  121    6493    1.486316e+00    1.495e-06    1.450e-01    9.644e-02
  122    6546    1.486331e+00    4.757e-07    1.451e-01    5.343e-02
  123    6599    1.486350e+00    5.764e-07    1.452e-01    5.042e-02
  124    6652    1.486370e+00    2.659e-06    1.453e-01    9.254e-02
  125    6705    1.486374e+00    1.080e-05    1.454e-01    1.823e-01
  126    6758    1.486341e+00    4.309e-05    1.455e-01    3.602e-01
  127    6811    1.486219e+00    1.859e-04    1.460e-01    7.022e-01
  128    6864    1.485789e+00    8.375e-04    1.476e-01    1.335e+00
  129    6917    1.484131e+00    3.763e-03    1.525e-01    2.450e+00
  130    6970    1.478077e+00    1.607e-02    1.677e-01    4.674e+00
  131    7023    1.460285e+00    4.895e-02    2.101e-01    1.069e+01
  132    7076    1.421313e+00    1.394e-01    2.815e-01    2.061e+01
  133    7129    1.372830e+00    8.091e-02    3.323e-01    2.039e+01
  134    7182    1.374706e+00    2.184e-02    3.349e-01    1.551e+01
  135    7235    1.367080e+00    8.029e-03    2.255e-01    5.940e+00
  136    7288    1.364755e+00    2.107e-03    2.146e-01    2.413e+00
  137    7341    1.361341e+00    5.065e-03    2.183e-01    3.405e+00
  138    7395    1.355753e+00    1.993e-04    2.469e-01    5.005e+00
  139    7449    1.349604e+00    1.611e-04    2.787e-01    5.534e+00
  140    7503    1.345923e+00    1.387e-04    2.981e-01    3.880e+00
  141    7557    1.345187e+00    1.049e-05    3.035e-01    1.671e+00
  142    7610    1.345870e+00    1.135e-04    3.015e-01    7.361e-01
  143    7663    1.346492e+00    6.538e-05    2.970e-01    6.693e-01
  144    7716    1.345746e+00    4.002e-04    2.885e-01    1.332e+00
  145    7769    1.344729e+00    2.024e-04    2.817e-01    1.107e+00
  146    7822    1.344711e+00    6.067e-07    2.819e-01    1.171e-01
  147    7875    1.344690e+00    1.538e-06    2.820e-01    9.778e-02
  148    7928    1.344703e+00    1.767e-07    2.819e-01    2.562e-02
  149    7981    1.344713e+00    4.040e-08    2.819e-01    1.221e-02
  150    8034    1.344732e+00    1.156e-07    2.819e-01    1.741e-02

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  151    8087    1.344757e+00    7.437e-07    2.821e-01    4.218e-02
  152    8140    1.344777e+00    9.440e-07    2.823e-01    4.766e-02
  153    8193    1.344844e+00    5.394e-06    2.825e-01    1.159e-01
  154    8246    1.345013e+00    1.966e-05    2.827e-01    2.315e-01
  155    8299    1.345312e+00    6.688e-05    2.829e-01    4.088e-01
  156    8352    1.345727e+00    2.543e-04    2.836e-01    7.301e-01
  157    8405    1.346083e+00    9.283e-04    2.852e-01    1.265e+00
  158    8458    1.345644e+00    3.318e-03    2.859e-01    2.052e+00
  159    8511    1.341436e+00    1.035e-02    2.811e-01    2.682e+00
  160    8564    1.323751e+00    1.964e-02    2.677e-01    3.896e+00
  161    8617    1.258049e+00    6.168e-02    2.385e-01    1.986e+01
  162    8670    1.207521e+00    6.324e-02    1.932e-01    2.283e+01
  163    8723    1.205836e+00    7.711e-03    1.215e-01    9.828e+00
  164    8776    1.208384e+00    4.088e-03    1.597e-01    6.776e+00
  165    8829    1.213853e+00    3.947e-03    6.434e-02    6.704e+00
  166    8882    1.215766e+00    9.563e-05    2.864e-02    1.175e+00
  167    8935    1.216398e+00    2.000e-05    2.000e-02    2.951e-01
  168    8988    1.172619e+00    3.466e-02    6.478e-02    1.689e+01
  169    9041    1.154449e+00    8.180e-03    1.006e-01    1.382e+01
  170    9094    1.155033e+00    9.050e-04    6.410e-02    3.321e+00
  171    9147    1.154839e+00    3.224e-05    9.454e-03    6.652e-01
  172    9200    1.154836e+00    6.291e-08    4.000e-03    1.098e-01
  173    9253    1.139792e+00    8.201e-03    1.294e-02    1.234e+01
  174    9306    1.138523e+00    2.326e-03    1.297e-02    6.791e+00
  175    9359    1.138364e+00    5.174e-05    1.114e-02    1.402e+00
  176    9412    1.138181e+00    3.269e-04    9.415e-03    1.015e+00
  177    9465    1.138209e+00    8.424e-05    3.395e-03    5.259e-01
  178    9518    1.138219e+00    1.892e-07    8.000e-04    3.412e-02

Local minimum found that satisfies the constraints.

Optimization completed because the objective function is non-decreasing in 
feasible directions, to within the value of the optimality tolerance,
and constraints are satisfied to within the value of the constraint tolerance.

<stopping criteria details>
Elapsed time is 0.960000 seconds.
>> 
